Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Vermont,130,91,30,27
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Vermont,65,39,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Vermont,15,14,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Vermont,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Vermont,30,47,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Vermont,70,42,,
ENGLISH,English,English,Virginia,6459988,7358,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Virginia,506650,4052,218075,3454
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Virginia,31915,1493,6765,669
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Virginia,425,170,90,56
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Virginia,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Virginia,5796,818,1282,327
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Virginia,9830,1080,1806,341
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Virginia,8440,836,2205,429
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Virginia,31145,1601,4210,507
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Virginia,250,99,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Virginia,390,268,25,27
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Virginia,2760,442,315,137
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Virginia,715,229,40,48
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Virginia,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Virginia,1135,271,155,81
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Virginia,1075,350,80,62
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Virginia,740,209,50,37
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Virginia,215,127,30,36
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Faroese,Virginia,,,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Virginia,7150,993,1748,405
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Virginia,14668,1278,5056,704
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Virginia,3514,593,547,188
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Virginia,2950,662,1025,304
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Virginia,530,190,190,103
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Virginia,1070,408,225,135
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Virginia,30,32,10,15
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Virginia,2035,520,550,208
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Virginia,590,180,40,43
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Virginia,490,181,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Virginia,1900,547,565,288
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Virginia,275,243,130,140
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Virginia,85,70,25,31
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Virginia,1414,340,432,148
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Virginia,24470,1923,8174,722
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Virginia,25121,1774,4391,705
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Virginia,8670,1042,2826,527
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Virginia,25200,2440,7223,1025
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Virginia,2025,629,425,258
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Virginia,11025,1682,4000,834
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Virginia,8700,1426,2865,601
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Virginia,2730,543,205,113
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,Virginia,60,57,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Rajasthani,Virginia,45,56,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Virginia,180,108,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Virginia,110,101,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Virginia,6305,1103,3105,710
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Virginia,155,118,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Virginia,575,416,135,126
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Virginia,1100,400,415,213
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Virginia,495,200,60,47
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Virginia,1315,422,390,247
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Virginia,175,107,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Virginia,35,40,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Virginia,3420,735,755,249
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Virginia,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Virginia,200,80,30,28
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Virginia,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Virginia,1490,433,415,160
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Virginia,670,263,200,182
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Virginia,325,107,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Virginia,1965,592,710,258
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Virginia,1900,676,800,326
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Virginia,37210,2186,17090,1319
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Virginia,3930,753,1730,475
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Virginia,7390,1058,3315,653
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Virginia,65,101,65,101
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Virginia,1355,371,695,205
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Virginia,35,41,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Virginia,10160,944,3650,445
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Virginia,56184,2381,29903,1634
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Virginia,5582,1017,2779,602
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Virginia,235,204,48,73
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Virginia,6539,858,3420,545
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Virginia,2551,595,1216,312
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Virginia,47843,2353,26071,1550
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Virginia,180,140,30,22
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Virginia,525,267,260,155
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Virginia,135,93,55,61
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Virginia,5780,837,2260,465
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Virginia,1250,452,675,306
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Virginia,20,25,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Virginia,65,50,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Virginia,14645,1496,2345,510
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Virginia,1850,406,270,117
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Virginia,2835,519,530,223
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Virginia,7990,1125,960,226
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Virginia,215,122,75,58
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Virginia,1285,448,560,209
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Virginia,275,284,275,284
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Virginia,170,202,150,176
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Virginia,43952,2069,12031,943
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Virginia,1685,441,540,213
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Javanese,Virginia,90,109,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malagasy,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Virginia,720,278,260,152
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Virginia,575,239,130,82
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Virginia,410,254,60,63
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Virginia,585,223,255,135
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,Virginia,80,55,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Virginia,110,86,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Virginia,260,131,30,49
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Kusaiean,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Virginia,40,39,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Virginia,105,90,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Polynesian,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Virginia,290,218,95,90
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Virginia,155,179,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tokelauan,Virginia,65,73,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Virginia,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Virginia,160,81,,
ALL OTHER LANGUAGES,Navajo,Navajo,Virginia,165,84,15,19
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Virginia,65,37,,
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,Virginia,30,35,,
ALL OTHER LANGUAGES,Other Native North American languages,Ahtena,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Virginia,65,58,,
ALL OTHER LANGUAGES,Other Native North American languages,Kiowa,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tlingit,Virginia,15,16,,
ALL OTHER LANGUAGES,Other Native North American languages,Delta River Yuman,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Virginia,165,107,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Virginia,30,41,,
ALL OTHER LANGUAGES,Other Native North American languages,Ponca,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Mikasuki,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,Virginia,150,164,135,163
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,Virginia,95,84,,
ALL OTHER LANGUAGES,Other Native North American languages,Tuscarora,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Virginia,110,69,,
ALL OTHER LANGUAGES,Other Native North American languages,Towa,Virginia,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Virginia,70,54,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Virginia,1486,306,311,143
ALL OTHER LANGUAGES,Arabic,Arabic,Virginia,40139,2737,12198,1315
ALL OTHER LANGUAGES,Hebrew,Hebrew,Virginia,1353,317,221,97
ALL OTHER LANGUAGES,African languages,Amharic,Virginia,23160,1724,8550,1082
ALL OTHER LANGUAGES,African languages,Berber,Virginia,140,101,65,73
ALL OTHER LANGUAGES,African languages,Chadic,Virginia,80,51,,
ALL OTHER LANGUAGES,African languages,Cushite,Virginia,3240,667,1185,332
ALL OTHER LANGUAGES,African languages,Sudanic,Virginia,360,238,155,108
ALL OTHER LANGUAGES,African languages,Nilotic,Virginia,,,,
ALL OTHER LANGUAGES,African languages,Nilo-Hamitic,Virginia,440,509,150,211
ALL OTHER LANGUAGES,African languages,Nilo-Saharan,Virginia,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Virginia,1945,461,475,213
ALL OTHER LANGUAGES,African languages,Bantu,Virginia,1725,511,735,367
ALL OTHER LANGUAGES,African languages,Mande,Virginia,390,173,120,89
ALL OTHER LANGUAGES,African languages,Fulani,Virginia,765,322,210,125
ALL OTHER LANGUAGES,African languages,Gur,Virginia,30,39,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Virginia,19655,1702,3805,632
ALL OTHER LANGUAGES,African languages,Efik,Virginia,35,27,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Virginia,25,82,,
ALL OTHER LANGUAGES,African languages,African,Virginia,100,56,,
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Virginia,570,202,25,24
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Virginia,245,112,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Virginia,235,193,90,93
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Virginia,185,132,40,49
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Virginia,145,183,145,183
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Virginia,165,129,135,96
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,Virginia,85,119,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Virginia,35,79,,
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,Virginia,185,235,185,235
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Virginia,285,152,,
ENGLISH,English,English,Washington,5195196,8836,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Washington,521720,5446,232155,3812
SPANISH AND SPANISH CREOLE,Spanish,Ladino,Washington,30,32,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Washington,22710,1301,3480,480
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Washington,170,147,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Washington,50,44,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Washington,767,246,322,149
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Washington,6624,741,1116,219
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Washington,5290,779,1265,407
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Washington,32475,1502,4305,506
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Washington,198,100,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Washington,55,71,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Washington,3420,504,520,158
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Washington,545,273,85,85
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Washington,15,16,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Washington,3475,583,185,73
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Washington,1240,386,100,68
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Washington,3390,422,510,165
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Washington,390,149,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Washington,3015,577,714,225
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Washington,56537,2888,26219,1775
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Washington,4818,673,1396,301
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Washington,3515,757,1245,284
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Washington,1000,282,235,128
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Washington,745,253,240,118
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Washington,165,109,85,75
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Washington,22710,2171,12555,1337
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Washington,1270,307,330,132
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Washington,445,182,115,87
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Washington,1915,440,565,212
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Washington,70,65,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Washington,45,48,30,42
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Washington,1170,318,466,175
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Washington,8599,1029,3250,546
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Washington,15528,1360,2784,431
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Washington,2552,571,488,210
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Washington,3398,745,667,230
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Washington,435,261,110,81
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Washington,1515,446,290,122
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Washington,14265,1690,6145,900
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Washington,2135,527,445,235
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Washington,220,196,70,83
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Washington,35,42,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Washington,25,35,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Washington,2385,669,1575,502
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Washington,120,77,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Washington,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Washington,390,199,80,56
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Washington,165,157,100,150
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Washington,80,86,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Washington,95,90,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Washington,100,117,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Washington,60,70,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Washington,8800,1468,3160,644
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Washington,95,69,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Washington,505,172,80,49
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Washington,115,65,30,30
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Washington,285,162,120,82
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Washington,590,237,115,72
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Washington,825,250,165,106
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Washington,75,76,50,65
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Washington,410,284,140,93
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Washington,52980,2225,27875,1356
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Washington,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Washington,12430,1331,6675,952
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Washington,13735,1117,6150,709
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Washington,2465,540,1310,364
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Washington,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Washington,25418,1664,9321,714
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Washington,48065,2072,26826,1224
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Washington,17187,1254,8875,947
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Washington,2116,708,653,269
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Washington,5368,748,2611,534
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Washington,7566,1194,3721,631
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Washington,60094,2943,37261,1925
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Washington,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Washington,150,196,125,182
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Washington,90,83,65,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Washington,3330,847,1440,563
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkmen,Washington,60,54,35,36
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Washington,885,433,345,194
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Washington,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Washington,6870,825,1680,407
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Washington,1260,384,245,228
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Washington,2805,710,885,364
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Washington,6350,782,1030,317
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Washington,330,199,210,149
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Washington,890,455,530,326
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Washington,240,217,240,217
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Washington,1255,433,535,202
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Washington,54878,2525,18882,1291
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Washington,3495,709,1640,485
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Cham,Washington,195,164,105,121
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Javanese,Washington,50,65,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malagasy,Washington,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Washington,400,166,115,73
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Washington,1125,354,595,199
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Washington,620,214,220,111
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pangasinan,Washington,140,91,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Washington,3175,626,1355,380
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,Washington,150,153,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Washington,220,132,55,53
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Washington,355,312,195,195
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Carolinian,Washington,65,73,25,31
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Washington,3630,592,585,200
